delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,no,delivered,3,1632.7206
xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,no,delivered,5,640.17
shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,no,delivered,4,1448.17
dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,no,delivered,3,1486.57
dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,no,delivered,4,1394.56
amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,yes,delayed,3,391.45
delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,no,delivered,3,1222.87
xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,no,delivered,3,800.89
blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,no,delivered,5,854.18
delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,no,delivered,5,423.34
fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,no,delivered,4,1632.15
ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,no,delivered,5,541.44
xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,no,delivered,4,1350.18
xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,yes,failed,1,155.08
xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,no,delivered,3,1263.27
amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,yes,delayed,3,1281.51
fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,no,delivered,5,397.19
blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,no,delivered,5,990.36
amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,no,delivered,3,651.1
